'Ball bearing 686ZZ 6mm x 13mm x 5mm',  2
'Heatfit insert M3 x 3mm', 11
'Heatfit insert M2 x 4mm',  4
'JST PH connector 2 way',  1
'JST PH connector 3 way',  2
'LED 3 mm green',  1
'Microswitch DM1-00P-110-3',  2
'Molex KK header 2 way',  1
'Molex KK housing 2 way',  1
'MULTIWATT11 L6203',  1
'Nut M3 x 2.4mm nyloc',  1
'Nut M8 x 6.5mm brass',  1
'PCB Blinder',  1
'ESP-12F ESP8266 WiFi module',  1
'Ultra Small 3A buck regulator',  1
'Screw M2 cap x 10mm',  4
'Screw M3 cap x  5mm',  1
'Screw M3 cap x  8mm',  3
'Screw M3 cs cap x 12mm',  1
'Screw M3 cs cap x  5mm',  4
'Screw M3 dome x 12mm',  6
'Screw M3 grub x  5mm',  3
'Screw No8 pan wood x 30mm',  3
'SMD capacitor 0805 100n',  2
'SMD capacitor 0805 15n',  2
'SMD capacitor 0805 220n',  1
'SMD resistor 0805 10K 0.125W',  5
'SMD resistor 0805 1K 0.125W',  2
'SMD resistor 0805 2K2 0.125W',  1
'Washer spring M6 x 1.9mm',  2
'Square button 6mm',  2
'Washer star M2 x 0.3mm',  4
'Washer star M3 x 0.5mm',  1
'Threaded rod M8 x 79mm - not shown',  1
'Washer  M2 x 5mm x 0.3mm',  4
'Washer  M3 x 7mm x 0.5mm',  5
'Washer  M5 x 10mm x 1mm',  3
